Season,Gila,Sex,Environment,Home_Range_100mcp,N,Home_Range_95kde,Nkde
Dry,M69,male,subsidized,5.29,17,19.16,5.29
Dry,M67,male,subsidized,5.29,9,27.23,5.71
Dry,M215,male,subsidized,8.28,11,36.41,8.28
Dry,M14,male,subsidized,6.2,15,19.12,6.2
Dry,M119,male,subsidized,27.84,15,50.03,27.84
Dry,M112,male,subsidized,24.93,16,104.84,24.93
Dry,F66,female,subsidized,9.6,97,19.11,9.6
Dry,F36,female,subsidized,24.99,99,25.62,98
Dry,F252,female,subsidized,2.54,14,11.43,14
Dry,F214,female,subsidized,5.04,10,21.96,10
Dry,F200,female,subsidized,4.71,8,23.54,8
Dry,F147,female,subsidized,25.52,57,46.45,57
Dry,F146,female,subsidized,9.55,22,27.2,22
Dry,F137,female,subsidized,6.54,43,13.92,43
Dry,F135,female,subsidized,3.71,25,9.87,25
Dry,F114,female,subsidized,13.66,99,16.89,98
Dry,F104,female,subsidized,6.07,70,15.62,70
Dry,3,male,nonsubsidized,35.2,23,NA,NA
Dry,8,male,nonsubsidized,6.3,40,NA,NA
Dry,10,male,nonsubsidized,25.6,40,NA,NA
Dry,11,male,nonsubsidized,28.3,40,NA,NA
Dry,12,male,nonsubsidized,25.3,40,NA,NA
Dry,13,female,nonsubsidized,20.6,43,NA,NA
Dry,15,female,nonsubsidized,12.5,36,NA,NA
Dry,17,female,nonsubsidized,28.1,39,NA,NA
Dry,50,female,nonsubsidized,10.5,40,NA,NA
Dry,51,female,nonsubsidized,6.6,14,NA,NA
Emergence,M69,male,subsidized,0.33,4,NA,NA
Emergence,M255,male,subsidized,3.23,7,NA,NA
Emergence,M215,male,subsidized,2.64,7,14.93,7
Emergence,F66,female,subsidized,0.33,5,NA,NA
Emergence,F36,female,subsidized,2.94,12,22.27,12
Emergence,F252,female,subsidized,1.27,8,10.44,8
Emergence,F147,female,subsidized,5.44,14,26.67,14
Emergence,F137,female,subsidized,1.71,6,18.73,6
Emergence,F114,female,subsidized,0.99,12,4.01,12
Emergence,2,male,nonsubsidized,0.4,12,NA,NA
Emergence,3,male,nonsubsidized,0.4,17,NA,NA
Emergence,10,male,nonsubsidized,4.4,23,NA,NA
Emergence,11,male,nonsubsidized,0.6,25,NA,NA
Emergence,12,male,nonsubsidized,0,17,NA,NA
Emergence,13,female,nonsubsidized,1.9,25,NA,NA
Emergence,15,female,nonsubsidized,0.5,22,NA,NA
Emergence,17,female,nonsubsidized,5.5,23,NA,NA
Emergence,50,female,nonsubsidized,5.1,20,NA,NA
Emergence,51,female,nonsubsidized,9.3,23,NA,NA
Monsoon,M69,male,subsidized,14.84,22,38.46,22
Monsoon,M67,male,subsidized,7.72,7,38.46,7
Monsoon,M255,male,subsidized,1.07,9,13.93,9
Monsoon,M215,male,subsidized,7.22,12,25.2,12
Monsoon,M14,male,subsidized,7.5,10,34.51,10
Monsoon,M119,male,subsidized,19.98,67,38.82,67
Monsoon,M112,male,subsidized,14.14,29,30.15,29
Monsoon,F66,female,subsidized,33.65,79,46.84,79
Monsoon,F36,female,subsidized,10.3,118,15.79,118
Monsoon,F252,female,subsidized,6.48,30,15.36,30
Monsoon,F214,female,subsidized,7.79,28,23.82,28
Monsoon,F200,female,subsidized,4.23,40,9,40
Monsoon,F147,female,subsidized,18.21,70,36.38,70
Monsoon,F146,female,subsidized,5.97,17,22.59,17
Monsoon,F137,female,subsidized,6.95,62,14.04,62
Monsoon,F135,female,subsidized,5.72,48,12.72,48
Monsoon,F114,female,subsidized,10.72,84,20.01,84
Monsoon,F104,female,subsidized,7.59,49,19.06,49
Monsoon,2,male,nonsubsidized,13.4,45,NA,NA
Monsoon,3,male,nonsubsidized,34.3,34,NA,NA
Monsoon,8,male,nonsubsidized,17.7,33,NA,NA
Monsoon,10,male,nonsubsidized,25.1,30,NA,NA
Monsoon,11,male,nonsubsidized,15.5,26,NA,NA
Monsoon,12,male,nonsubsidized,23.7,26,NA,NA
Monsoon,1,female,nonsubsidized,22.8,36,NA,NA
Monsoon,13,female,nonsubsidized,19.4,33,NA,NA
Monsoon,15,female,nonsubsidized,34.8,33,NA,NA
Monsoon,17,female,nonsubsidized,34.6,31,NA,NA
Monsoon,50,female,nonsubsidized,12.5,21,NA,NA
Monsoon,51,female,nonsubsidized,13.8,23,NA,NA
Post_Monsoon,M69,male,subsidized,0.07,8,0.38,8
Post_Monsoon,M119,male,subsidized,1.55,9,8.25,9
Post_Monsoon,M112,male,subsidized,0.28,8,1.84,8
Post_Monsoon,F66,female,subsidized,1.36,16,4.43,16
Post_Monsoon,F36,female,subsidized,19.14,27,40.72,27
Post_Monsoon,F252,female,subsidized,0.39,9,2.04,9
Post_Monsoon,F214,female,subsidized,1.87,9,NA,NA
Post_Monsoon,F200,female,subsidized,2.05,12,14.05,12
Post_Monsoon,F147,female,subsidized,7.14,18,33.22,18
Post_Monsoon,F146,female,subsidized,0.03,7,1.3,7
Post_Monsoon,F137,female,subsidized,2.19,17,15.26,17
Post_Monsoon,F135,female,subsidized,0.68,5,NA,NA
Post_Monsoon,F114,female,subsidized,4.56,24,13.44,24
Post_Monsoon,F104,female,subsidized,0.53,13,3.8,13
Post_Monsoon,2,male,nonsubsidized,0.5,7,NA,NA
Post_Monsoon,3,male,nonsubsidized,0.3,6,NA,NA
Post_Monsoon,8,male,nonsubsidized,0,6,NA,NA
Post_Monsoon,10,male,nonsubsidized,0.2,8,NA,NA
Post_Monsoon,11,male,nonsubsidized,0,8,NA,NA
Post_Monsoon,12,male,nonsubsidized,0,5,NA,NA
Post_Monsoon,1,female,nonsubsidized,0.6,6,NA,NA
Post_Monsoon,13,female,nonsubsidized,1.2,11,NA,NA
Post_Monsoon,15,female,nonsubsidized,0.3,9,NA,NA
Post_Monsoon,17,female,nonsubsidized,3.5,8,NA,NA