,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,F36,F66,F104,F135,F137,F146,F147,,M14,M67,M69,M112,M119,M215,M255,,ID,10,11,12,2,4,8,,13,15,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female:Female,,,,,,,,Male:Female,,,,,,,,,Male:Male,,,,,,,Male:Female,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F36,–,5.13,–,–,–,4.65,–,,–,–,–,–,19.44,18.51,–,,10,–,–,29.9,–,–,–,,–,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F66,5.13,–,–,–,–,5.05,–,,–,–,2.6,–,–,–,–,,11,–,–,–,1.6,33.7,9.4,,–,22.7,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F104,–,–,–,0.5,–,–,–,,–,–,–,–,–,–,–,,12,29.9,–,–,–,–,–,,0.4,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F114,–,–,–,–,–,–,–,,–,–,–,5.82,–,–,–,,2,–,1.6,–,–,26.1,11.5,,4.8,10.4,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F135,–,–,0.5,–,2.89,–,3.94,,–,–,2.04,–,–,–,–,,4,–,33.7,–,26.1,–,19.9,,–,39.0,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F137,–,–,–,2.89,–,–,7.91,,–,–,0.55,–,–,–,–,,8,–,9.4,–,11.5,19.9,–,,–,13.5,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F146,4.65,5.05,–,–,–,–,–,,0.14,–,0.76,–,–,–,–,,Mean =,18.9,± 4.5 S.E.,,,,,Mean =,13.0,± 4.2 S.E.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F147,–,–,–,3.94,7.91,–,–,,3.73,0.21,4.6,–,–,–,–,,ID,10,11,12,2,4,8,,13,15,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F200,–,–,–,–,–,–,–,,–,–,–,6.49,–,–,–,,Net,29.9,33.7,29.9,27.7,60.3,,,5.2,39.0,19.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
F252,–,–,–,–,–,–,–,,–,–,–,–,–,–,3.45,,Proportion,0.8,0.9,0.6,0.4,0.8,1.0,,0.2,1.0,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean =,4.3,± 0.86 S.E.,,,,,,Mean =,5.26,± 1.78 S.E.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,F36,F66,F104,F135,F137,F146,F147,,M14,M67,M69,M112,M119,M215,M255,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net,7.13,7.05,0.5,4.44,7.91,7.36,8.96,,3.97,0.21,6.7,12.31,19.44,18.51,3.45,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion,0.18,0.21,0.06,0.47,1,0.74,0.32,,0.39,0.02,0.37,0.4,0.54,0.9,0.22,,,,,,,,,,,,